Y0001,graphics,autodesk 3ds Max,12836186,15223814,11578325,11380467,15429287,,17001050,16859927,15333905,0
Y0002,graphics,sketchUp,16101581,15302858,16088780,10294092;10294092,9363774,6545078,12339347,14597915,16504193,0
Y0003,work,default,11876443,-,12067598,11541857;11541857,9821445,,13190384,14705840,,0
Y0004,work,default,15594638,-,16088780,11790199;11790199,8107354,,13161338,16900727,9964230,0
Y0005,work,default,11876443,-,12067598,11541857;11541857,3762603,,11282853,13429067,,0
Y0006,work,default,16101326,-,16314863,11541857;11541857,11432379,,11282853,13243346,,0
Y0007,work,default,16101083,-,16314863,11541857;11541857,3762603,,11282853,13381619,,0
Y0008,work,default,14927675,-,12067598,11541857;11541857,4801762,,11282853,13381634,,0
Y0009,work,default,16101353,9790371,16089554,11541857;11541857,17122130,,7136755,11778508,,0
Y0010,work,default,16101083,-,16102667,11541857;11541857,10174200,,13562693,11778508,,0
Y0011,design,adobe photoshop,12625265,9790371,11574458,11541857;11541857,3762610,,11282853,13429067,,0
Y0012,game,3,16101353,16292681,16314863,11541857;11541857,3762610,,11283033,10289943,,0
Y0013,game,3,16101353,16292681,16314863,11541857;11541857,3762610,,11283033,11778508,,0
Y0014,game,5,15594956,14281406,15617057,16193474,13148819,2307187,6096748,12673874,10467378,0
Y0015,game,4,12836186,14461889,11578097,11541857;11541857,5158596,,7136755,11884207,12086153,0
Y0016,game,2,12625265,11001012,12067598,11541857;11541857,9821445,,6429569,13381619,,0
Y0017,game,3,16101464,13470908,16088780,11541857;11541857,12400844,,13562693,13658789,14110475,0
Y0018,game,4,16101545,14776451,16088780,11541857;11541857,12400844,,13562693,11884207,17057594,0
Y0019,game,3,12625265,16292681,12067598,11541857;11541857,12400646,,11097639,14705840,14110475,0
Y0020,broadcast,default,15594638,16528460,15618923,11380467,15429467,,17001050,14637833,10467378,0
Y0021,game,3,12625265,14625236,16358978,11541857;11541857,13934357,,13161338,11884207,16046939,0
Y0022,work,default,16140809,-,15600512,11028636;11028636;11028636;11028636,9747681,6295608,13538642;13538642,16986524,16525058,0
Y0023,work,default,11405214,-,11708204,	6168338;6168338,11745575,,4832566,12572462,,0
Y0024,work,default,16101326,-,16102667,10859073;10859073,12345542,,13161353,13429067,,0
Y0025,game,3,16101353,14853878,16102010,13151036;13151036,11247363,,13161353,9376470,,0
Y0026,game,4,12836186,17045114,11583095,13122017,13934357,,14803562,16542008,16209023,0
Y0027,video,adobe aftereffect,16872089,14413778,15466466,13122017,16200560,6545078,14905301,12084098,16209023,0
Y0028,graphics,cad,15594701,16291658,16252274,10859073;10859073,10174200,,12668204,10423167,16209023,0
Y0029,game,3,16101179,11001336,16083650,10859073;10859073,14677133,,7136755,15055580,,0
Y0030,game,3,16101179,9909333,16103348,10859073;10859073,8804528,,5791861,15255224,,0
Y0031,work,default,16100921,-,16134524,10859073;10859073 ,6216861,,4832566,11626910,,0
Y0032,work,default,16100921,-,16103297,10859073;10859073 ,17515637,,5791861,15140402,,0
Y0033,work,default,16101083,-,16083650,10859073;10859073 ,17515637,,5791861,12192788,,0
Y0034,게임용,3,16101353,13612532,16089554,13151036;13151036,11247363,,17001083,16900727,,0
Y0035,work,default,17214128,-,7452181,6168329;6168329,12345542,,10029273,16185371,,0
Y0036,game,3,16741211,9909333,12069566,10859073;10859073,12345542,,5791861,13381619,,0
Y0037,game,3,16740791,11001336,7452148,10859073;10859073,10174137,,14019152,16185335,,0
Y0038,game,3,16101464,12822224,16963088,13151036;13151036,12487214,,14905301,16900727,14110475,0
Y0039,work,default,11876290,-,7452181,6168329;6168329,16566995,,5791861,13429067,,0
Y0040,work,default,16100921,-,16103330,10859073;10859073 ,6216861,,11961251,17234591,,0
Y0041,graphics,zBrush,12625265,17029202,12464213,13151036;13151036,12804722,,14905301,16900748,16209023,0
Y0042,game,3,16741211,16295756,12464213,10859073;10859073,8107354,,13161353,16144583,,0
Y0043,game,3,15594446,13463144,16090028,13151036;13151036,14677028,,14803562,14705840,14110475,0
Y0044,game,4,12836186,14718956,11583224,13151036;13151036,11650160,,14905301,17747885,14110475,0
Y0045,work,default,16101326,-,16102367,10859073;10859073 ,16566995,,11282967,14916101,,0
Y0046,game,4,15594701,14534075,15639767,13122017,13854197,,14905301,17192498,14110475,0
Y0047,game,4,15594701,14444705,15618923,13122017,13854197,,16587548,16542008,14110475,0
Y0048,work,default,14927675,-,12067598,6168329;6168329,12345542,,5791861,17224280,,0
Y0049,game,3,16741211,14453744,11574458,12398351,10174200,,13161353,9376491,,0
