Id,Name,1/1/2022 10:10,1/2/2022 10:12,1/3/2022 10:08,1/4/2022 10:09,1/5/2022 10:11,1/6/2022 10:15,1/7/2022 10:15,1/8/2022 10:09,1/9/2022 10:13,1/10/2022 10:09,1/11/2022 10:11,1/12/2022 10:10,1/13/2022 10:13,1/14/2022 10:11,1/15/2022 10:09,1/16/2022 10:15,1/17/2022 10:11,1/18/2022 10:12,1/19/2022 10:03,1/20/2022 10:17,1/21/2022 10:04,1/22/2022 10:03,1/23/2022 10:06,1/24/2022 10:06,1/25/2022 10:12,1/26/2022 10:12,1/27/2022 10:06,1/28/2022 10:06,1/29/2022 10:01,1/30/2022 10:07,1/31/2022 10:04,2/1/2022 10:09,2/2/2022 10:07,2/3/2022 10:04,2/4/2022 10:05,2/5/2022 9:57,2/6/2022 10:15,2/7/2022 10:06,2/8/2022 10:09,2/9/2022 10:12,2/10/2022 10:09,2/11/2022 10:13,2/12/2022 10:12,2/13/2022 10:14,2/14/2022 10:08,2/15/2022 10:17,2/16/2022 10:12,2/17/2022 10:04,2/18/2022 10:16,2/19/2022 10:11,2/20/2022 10:16,2/21/2022 10:12,2/22/2022 10:14,2/23/2022 10:18,2/24/2022 10:16,2/25/2022 10:15,2/26/2022 10:08,2/27/2022 10:15,2/28/2022 10:14,3/1/2022 10:24,3/2/2022 10:19,3/3/2022 10:20,3/4/2022 10:25,3/5/2022 10:18,3/6/2022 10:16,3/7/2022 10:18,3/8/2022 10:17,3/9/2022 10:21,3/10/2022 10:23,3/11/2022 10:23,3/12/2022 10:13,3/13/2022 10:15,3/14/2022 10:20,3/15/2022 10:22,3/16/2022 10:25,3/17/2022 10:21,3/18/2022 10:24,3/19/2022 10:19,3/20/2022 10:22,3/21/2022 10:25,3/22/2022 10:35,3/23/2022 10:38,3/24/2022 10:26,3/25/2022 10:26,3/26/2022 10:25,3/27/2022 10:37,3/28/2022 10:44,3/29/2022 10:40,3/30/2022 10:39,3/31/2022 10:37,4/1/2022 10:51,4/2/2022 10:39,4/3/2022 10:43,4/4/2022 10:46,4/5/2022 10:37,4/6/2022 10:40,4/7/2022 10:36,4/8/2022 10:42,4/9/2022 10:37,4/10/2022 10:42,4/11/2022 10:45,4/12/2022 10:40,4/13/2022 10:49,4/14/2022 10:50,4/15/2022 10:45,4/16/2022 10:38,4/17/2022 10:44,4/18/2022 10:57,4/19/2022 10:55,4/20/2022 10:59,4/21/2022 10:50,4/22/2022 10:58,4/23/2022 10:47,4/24/2022 10:45,4/25/2022 10:49,4/26/2022 10:56,4/27/2022 10:59,4/28/2022 11:32,4/29/2022 10:59,4/30/2022 10:59,5/1/2022 11:19,5/2/2022 11:00,5/3/2022 11:00,5/4/2022 10:58,5/5/2022 10:51,5/6/2022 10:47,5/7/2022 10:43,5/8/2022 10:54,5/9/2022 10:58,5/10/2022 10:27,5/11/2022 10:58,5/12/2022 10:58,5/13/2022 11:00,5/14/2022 11:05,5/15/2022 11:02,5/16/2022 10:45,5/17/2022 10:51,5/18/2022 10:44,5/19/2022 11:01,5/20/2022 10:51,5/21/2022 10:25,5/22/2022 10:47,5/23/2022 10:51,5/24/2022 10:56,5/25/2022 10:55,5/26/2022 10:59,5/27/2022 10:55,5/28/2022 10:49,5/29/2022 11:05,5/30/2022 11:01,5/31/2022 10:58,6/1/2022 11:12,6/2/2022 11:00,6/3/2022 10:46,6/4/2022 10:43,6/5/2022 10:57,6/6/2022 10:56,6/7/2022 10:51,6/8/2022 10:51,6/9/2022 10:52,6/10/2022 11:00,6/11/2022 10:51,6/12/2022 11:04,6/13/2022 11:05,6/14/2022 11:07,6/15/2022 11:00,6/16/2022 10:55,6/17/2022 10:56,6/18/2022 10:56,6/19/2022 11:05,6/20/2022 10:57,6/21/2022 10:58,6/22/2022 11:08,6/23/2022 10:57,6/24/2022 11:00,6/25/2022 11:04,6/26/2022 11:09,6/27/2022 11:04,6/28/2022 11:01,6/29/2022 11:06,6/30/2022 11:06,7/1/2022 11:20,7/2/2022 11:01,7/3/2022 11:07,7/4/2022 11:13,7/5/2022 11:05,7/6/2022 11:22,7/7/2022 11:12,7/8/2022 11:07,7/9/2022 10:57,7/10/2022 11:19,7/11/2022 11:04,7/12/2022 11:18,7/13/2022 11:05,7/14/2022 11:19,7/15/2022 11:22,7/16/2022 11:04,7/17/2022 11:11,7/18/2022 11:08,7/19/2022 11:21,7/20/2022 11:06,7/21/2022 11:07,7/22/2022 11:09,7/23/2022 11:08,7/24/2022 11:13,7/25/2022 11:07,7/26/2022 11:20,7/27/2022 11:12,7/28/2022 11:05,7/29/2022 11:18,7/30/2022 11:05,7/31/2022 11:22,8/1/2022 11:20,8/2/2022 11:25,8/3/2022 11:06,8/4/2022 11:01,8/5/2022 11:03,8/6/2022 11:00,8/7/2022 11:09,8/8/2022 10:59,8/9/2022 11:11,8/10/2022 10:51,8/11/2022 10:55,8/12/2022 10:59,8/13/2022 10:54,8/14/2022 11:11,8/15/2022 11:18,8/16/2022 11:12,8/17/2022 11:24,8/18/2022 11:24,8/19/2022 11:13,8/20/2022 11:11,8/21/2022 11:06,8/22/2022 11:09,8/23/2022 11:21,8/24/2022 11:13,8/25/2022 11:22,8/26/2022 11:28,8/27/2022 11:24,8/28/2022 11:31,8/29/2022 11:28,8/30/2022 11:33,8/31/2022 11:39,9/1/2022 11:15,9/2/2022 11:25,9/3/2022 11:28,9/4/2022 11:23,9/5/2022 11:27,9/6/2022 11:33
15833261,AMD A4 3300 (라노) (중고),,,5000,5000,5000,5000,5000,5000,5000,5000,5000,,,,5000,,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,5000,5000,5000,5000,5000,5000,,,5000,5000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15834833,AMD A4 3400 (라노) (중고),4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,,,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,4990,,,,,,,,,,,4990
11038104,AMD A4 7300 (리치랜드) (해외구매),17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,,,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,17480,,,,,,,17480,17480,17480,17480,17480,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,25000,25000,25000,25000,25000,25000,25000,25000,,,25000,25000,25000,,25000,25000,25000,,25000,25000,25000,25000,25000,,25000,25000,25000,25000,25000,,,,,,,,,,,,,,,,,,,,25000,25000,25000,25000,25000,25000,25000,,,,,25000,25000,25000,25000,25000,25000,25000,,,,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,25000,,,,,,,,,,,,,20000,20000,20000,,20000,20000,20000,20000,20000,20000,20000,,,,,,,,,,,,,20000,20000,20000,20000,20000,20000,20000,20000,20000,,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,,,,,,20000,20000,20000,20000,20000,20000,20000,20000
13500860,AMD A6 3600 (라노) (중고),40000,40000,40000,40000,40000,40000,40000,40000,40000,,,,,,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,,40000,40000,40000,40000,40000,,40000,,,,40000,40000,40000,40000,40000,40000,40000,,,,,,,40000,,40000,40000,40000,40000,40000,40000,40000,40000,,,,40000,,,,40000,40000,40000,,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,,,,,,,40000,40000,40000,40000,40000,40000,40000,40000,40000,,,,,,,,,,40000,40000,40000,40000,40000,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,40000,,,,,,,40000,40000,,,,,,,,,,,,,40000,40000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,,25000,25000,25000,25000,25000,25000,25000,25000,,,,,,,,,,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,,,25000,25000,25000,25000,25000,25000
9736854,AMD EPYC 7232P (롬) (정품),1672950,1672950,1672950,1672950,1672950,,,,1672950,,1672950,,1672950,,1672950,1672950,1672950,1672950,1672950,1672950,1672950,,,,1419600,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1500340,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1616920,1672950,1672950,1672950,1672950,1672950,1672950,,,,,,,,1672950,1672950,1672950,1672950,1672950,1672950,1672950,1672950,1310360,1310350,1310290,1310230,1310170,1310110,1310110,1310050,1309990,1309870,1309760,1392260,1392260,1392260,1392260,1392260,1392260,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,,,,,,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,,,,,,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,,,,,,,,,,,,,,,1392310,,,,,,,,,,,,,,,,1392310,1392310,1392310,1392310,,1392310,,,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310,1392310
9736833,AMD EPYC 7262 (롬) (정품),,,,,2130330,,2130330,2130330,,,,,,,,,,,,,,,,,,,,,,,1893680,1893680,1893680,1893680,1893680,,,,1893680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058960,2058960,2058960,2058960,2058960,,2058960,2058960,,,,,,,,,,,,,2130330,2130330,2130330,,,,,,,,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842810,842860,842860,842860,842860,842860,842860,842860,842860,842860,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,877040,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,897800,906300,906300,906300,923200,906300,906300,906300,906300,906300,906300,906300,906300,906300,906300,906300,906300,906300,906300,906300,906300
9736800,AMD EPYC 7272 (롬) (정품),1210000,1210000,1210000,1210000,1210000,1210000,1210000,,,,,,,,,,,,1210000,1210000,,,,1210000,1210000,1210000,1210000,1210000,1210000,,,,,,,,,,,,,,,,,,,,,,,,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,1210000,,,,,,,,,,1210000,1210000,,,,,,,,,,,1210000,,,,,,,,,,,,,,,,1210000,1210000,1210000,1210000,1210000,1210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210000,1210000,,,,,,,,
9736794,AMD EPYC 7282 (롬) (정품),1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,,,,,,1280000,,,,,,,,,,,,,,,,,,,,,,1280000,1280000,1280000,1280000,1280000,,,,,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,,,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,,1280000,1280000,1280000,1280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280000,1280000,1280000,1280000,1280000,1280000,1280000,1280000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280000,1280000,,,1280000,1280000,,,,,1280000,1280000,1280000,,,,,,,,
9736752,AMD EPYC 7302 (롬) (정품),3641700,,,3641700,3641700,3641700,3641700,3641700,3641700,3641700,3641700,3641700,3641700,3641700,,,,,,,3641700,3641700,3641700,3641700,2896910,2896910,2896910,2896910,2896910,2896910,2896910,,,,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,2896910,3117120,3117120,3117120,,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,3117120,,,,,3117120,,,3117120,3117120,,,,,,,,,,,,3641700,2854760,2854750,2854690,2854630,2854570,2854460,2854330,2854270,2854210,2854090,2854040,3033190,3033190,3033190,3033190,3033190,3033190,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,,,,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,,,3033240,3033240,3033240,3033240,3033240,3033240,3033240,,,,,,3033240,3033240,,,,3033240,3033240,,,,,,,,,,,,,,,,,,,,,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,,,,,,,,,,3033240,3033240,3033240,3033240,3033240,,3033240,3033240,,3033240,,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,3033240,,,,,,,,,,,,3033240
9736716,AMD EPYC 7352 (롬) (정품),,,,,,,,,,2450000,2450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3324330,3324330,3324330,,3324330,3324330,3324330,,,,,,,,,,,,,,,,4038540,4038540,4038540,,4038540,,4038540,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450000,2450000,2450000,,,,,,,,,,,,,,,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811040,1811080,1811080,1811080,1811080,1811080,1811080,1811090,1811090,1811090,1811090,1811090,1811090,1811080,1811090,1811090,1811090,1811090,1811090,1811090,1811080,1811090,1811090,1811090,1811090,1850030,1850030,1850020,1850030,1850030,1850030,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929150,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1929200,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400,1947400
