Id,Name,1/1/2022 10:11,1/2/2022 10:13,1/3/2022 10:09,1/4/2022 10:10,1/5/2022 10:15,1/6/2022 10:17,1/7/2022 10:16,1/8/2022 10:10,1/9/2022 10:14,1/10/2022 10:10,1/11/2022 10:12,1/12/2022 10:11,1/13/2022 10:14,1/14/2022 10:12,1/15/2022 10:10,1/16/2022 10:16,1/17/2022 10:12,1/18/2022 10:13,1/19/2022 10:04,1/20/2022 10:19,1/21/2022 10:05,1/22/2022 10:04,1/23/2022 10:07,1/24/2022 10:08,1/25/2022 10:13,1/26/2022 10:14,1/27/2022 10:07,1/28/2022 10:07,1/29/2022 10:02,1/30/2022 10:08,1/31/2022 10:06,2/1/2022 10:10,2/2/2022 10:09,2/3/2022 10:05,2/4/2022 10:06,2/5/2022 9:59,2/6/2022 10:16,2/7/2022 10:08,2/8/2022 10:10,2/9/2022 10:13,2/10/2022 10:10,2/11/2022 10:14,2/12/2022 10:13,2/13/2022 10:15,2/14/2022 10:09,2/15/2022 10:18,2/16/2022 10:14,2/17/2022 10:05,2/18/2022 10:17,2/19/2022 10:12,2/20/2022 10:17,2/21/2022 10:13,2/22/2022 10:15,2/23/2022 10:19,2/24/2022 10:17,2/25/2022 10:16,2/26/2022 10:09,2/27/2022 10:17,2/28/2022 10:15,3/1/2022 10:25,3/2/2022 10:20,3/3/2022 10:21,3/4/2022 10:26,3/5/2022 10:19,3/6/2022 10:17,3/7/2022 10:19,3/8/2022 10:18,3/9/2022 10:22,3/10/2022 10:24,3/11/2022 10:25,3/12/2022 10:14,3/13/2022 10:16,3/14/2022 10:22,3/15/2022 10:23,3/16/2022 10:26,3/17/2022 10:22,3/18/2022 10:25,3/19/2022 10:20,3/20/2022 10:23,3/21/2022 10:27,3/22/2022 10:36,3/23/2022 10:39,3/24/2022 10:27,3/25/2022 10:28,3/26/2022 10:26,3/27/2022 10:38,3/28/2022 10:45,3/29/2022 10:42,3/30/2022 10:40,3/31/2022 10:39,4/1/2022 10:52,4/2/2022 10:40,4/3/2022 10:44,4/4/2022 10:47,4/5/2022 10:38,4/6/2022 10:41,4/7/2022 10:37,4/8/2022 10:44,4/9/2022 10:38,4/10/2022 10:44,4/11/2022 10:46,4/12/2022 10:41,4/13/2022 10:50,4/14/2022 10:52,4/15/2022 10:46,4/16/2022 10:40,4/17/2022 10:46,4/18/2022 10:59,4/19/2022 10:56,4/20/2022 11:00,4/21/2022 10:52,4/22/2022 11:00,4/23/2022 10:49,4/24/2022 10:46,4/25/2022 10:51,4/26/2022 10:58,4/27/2022 11:01,4/28/2022 11:33,4/29/2022 11:01,4/30/2022 11:00,5/1/2022 11:21,5/2/2022 11:01,5/3/2022 11:01,5/4/2022 10:59,5/5/2022 10:52,5/6/2022 10:49,5/7/2022 10:44,5/8/2022 10:55,5/9/2022 10:59,5/10/2022 10:28,5/11/2022 11:00,5/12/2022 10:59,5/13/2022 11:02,5/14/2022 11:06,5/15/2022 11:03,5/16/2022 10:47,5/17/2022 10:53,5/18/2022 10:46,5/19/2022 11:02,5/20/2022 10:52,5/21/2022 10:26,5/22/2022 10:48,5/23/2022 10:52,5/24/2022 10:58,5/25/2022 10:57,5/26/2022 11:00,5/27/2022 10:56,5/28/2022 10:50,5/29/2022 11:07,5/30/2022 11:02,5/31/2022 10:59,6/1/2022 11:13,6/2/2022 11:01,6/3/2022 10:47,6/4/2022 10:44,6/5/2022 10:58,6/6/2022 10:57,6/7/2022 10:52,6/8/2022 10:52,6/9/2022 10:54,6/10/2022 11:01,6/11/2022 10:53,6/12/2022 11:05,6/13/2022 11:06,6/14/2022 11:08,6/15/2022 11:02,6/16/2022 10:56,6/17/2022 10:58,6/18/2022 10:58,6/19/2022 11:06,6/20/2022 10:59,6/21/2022 11:00,6/22/2022 11:10,6/23/2022 10:59,6/24/2022 11:02,6/25/2022 11:05,6/26/2022 11:10,6/27/2022 11:05,6/28/2022 11:03,6/29/2022 11:07,6/30/2022 11:07,7/1/2022 11:21,7/2/2022 11:03,7/3/2022 11:09,7/4/2022 11:15,7/5/2022 11:06,7/6/2022 11:23,7/7/2022 11:13,7/8/2022 11:08,7/9/2022 10:58,7/10/2022 11:20,7/11/2022 11:06,7/12/2022 11:19,7/13/2022 11:06,7/14/2022 11:21,7/15/2022 11:23,7/16/2022 11:06,7/17/2022 11:12,7/18/2022 11:09,7/19/2022 11:23,7/20/2022 11:07,7/21/2022 11:08,7/22/2022 11:10,7/23/2022 11:09,7/24/2022 11:14,7/25/2022 11:09,7/26/2022 11:22,7/27/2022 11:13,7/28/2022 11:06,7/29/2022 11:20,7/30/2022 11:07,7/31/2022 11:24,8/1/2022 11:21,8/2/2022 11:26,8/3/2022 11:07,8/4/2022 11:03,8/5/2022 11:04,8/6/2022 11:02,8/7/2022 11:10,8/8/2022 11:01,8/9/2022 11:12,8/10/2022 10:52,8/11/2022 10:56,8/12/2022 11:01,8/13/2022 10:55,8/14/2022 11:13,8/15/2022 11:19,8/16/2022 11:14,8/17/2022 11:25,8/18/2022 11:25,8/19/2022 11:14,8/20/2022 11:12,8/21/2022 11:08,8/22/2022 11:10,8/23/2022 11:22,8/24/2022 11:15,8/25/2022 11:23,8/26/2022 11:29,8/27/2022 11:25,8/28/2022 11:32,8/29/2022 11:29,8/30/2022 11:34,8/31/2022 11:40,9/1/2022 11:16,9/2/2022 11:26,9/3/2022 11:29,9/4/2022 11:24,9/5/2022 11:29,9/6/2022 11:34
13233428,DELL 55H49 SAS/7200/해외구매 (3TB),51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,51860,61980,61980,61980,61980,64680,64680,64680,64680,64680,64680,64680,64680,64680,64680,90840,90840,90840,90840,90840,90840,90840,90840,90840,101550,101550,101550,101550,97490,97490,,,,,66550,66550,66550,66550,66550,66550,66550,66550,66550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4341054,HGST Deskstar 5K4000 SATA/5400/32M/해외구매 (HDS5C4040ALE630 4TB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3344709,HGST Deskstar 7K1000 SATA2/7200/32M/해외구매 (HDS721010KLA330 1TB),116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,116560,209030,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,227200,261300,261300,261300,261300,261300,261300,261300,261300,261300,261300,261300,261300,261300,261300,261300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324371,HGST Deskstar 7K1000.C SATA2/7200/16M/리퍼비시 (HDS721050CLA362 500GB),49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,43960,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,49500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2865878,HGST Deskstar 7K1000.C SATA2/7200/32M/리퍼비시 (HDS721010CLA332 1TB),125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000
1580767,HGST Deskstar 7K1000.D 7200/32M (HDS721010DLE630 1TB),105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,,105470,105470,105470,105470,105470,105470,110210,110210,110210,110210,110210,110210,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,118500,107840,107840,107840,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,105470,104280,104280,104280,104280,104280,104280,104280,104280,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,107840,109020,109020,109020,109020,109020,109020,109020
3342768,HGST Deskstar 7K2000 SATA2/7200/32M/해외구매 (HDS722020ALA330 2TB),81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,81720,,81720,81720,81720,81720,81720,81720,81720,81720,81720,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000
3318233,HGST Deskstar 7K3000 7200/64M/해외구매 (HDS723030ALA640 3TB),84700,84700,84700,84700,,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,84700,168820,166980,163310,163310,163310,163310,163310,163310,,,,163310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163310,,,163310,163310,163310,163310,163310,163310,161480,161480,161480,161480,161480,161480,161480,161480,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,166980,168820,168820,168820,168820,168820,168820,168820
3328405,HGST Deskstar 7K3000 7200/64M/해외구매 (HDS723030ALA640 3TB),,,,,84700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163310,163310,163310,,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,163310,,163310,163310,163310,163310,,163310,163310,,,,,,,,,,,,,,,,,,,,,,,,,,166980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4897524,HGST Deskstar NAS 7200/128M (HDN726040ALE614 4TB),169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000,169000
