Id,Name,1/1/2022 10:11,1/2/2022 10:12,1/3/2022 10:09,1/4/2022 10:09,1/5/2022 10:13,1/6/2022 10:16,1/7/2022 10:16,1/8/2022 10:09,1/9/2022 10:13,1/10/2022 10:09,1/11/2022 10:11,1/12/2022 10:11,1/13/2022 10:13,1/14/2022 10:12,1/15/2022 10:09,1/16/2022 10:16,1/17/2022 10:11,1/18/2022 10:12,1/19/2022 10:04,1/20/2022 10:18,1/21/2022 10:04,1/22/2022 10:03,1/23/2022 10:06,1/24/2022 10:07,1/25/2022 10:13,1/26/2022 10:13,1/27/2022 10:07,1/28/2022 10:06,1/29/2022 10:02,1/30/2022 10:07,1/31/2022 10:05,2/1/2022 10:09,2/2/2022 10:08,2/3/2022 10:05,2/4/2022 10:05,2/5/2022 9:58,2/6/2022 10:15,2/7/2022 10:07,2/8/2022 10:10,2/9/2022 10:13,2/10/2022 10:09,2/11/2022 10:13,2/12/2022 10:13,2/13/2022 10:14,2/14/2022 10:08,2/15/2022 10:18,2/16/2022 10:13,2/17/2022 10:04,2/18/2022 10:16,2/19/2022 10:11,2/20/2022 10:16,2/21/2022 10:12,2/22/2022 10:15,2/23/2022 10:18,2/24/2022 10:17,2/25/2022 10:15,2/26/2022 10:08,2/27/2022 10:16,2/28/2022 10:15,3/1/2022 10:25,3/2/2022 10:19,3/3/2022 10:21,3/4/2022 10:26,3/5/2022 10:18,3/6/2022 10:17,3/7/2022 10:18,3/8/2022 10:17,3/9/2022 10:21,3/10/2022 10:24,3/11/2022 10:24,3/12/2022 10:13,3/13/2022 10:16,3/14/2022 10:21,3/15/2022 10:22,3/16/2022 10:25,3/17/2022 10:21,3/18/2022 10:25,3/19/2022 10:19,3/20/2022 10:23,3/21/2022 10:26,3/22/2022 10:36,3/23/2022 10:38,3/24/2022 10:27,3/25/2022 10:27,3/26/2022 10:25,3/27/2022 10:37,3/28/2022 10:45,3/29/2022 10:41,3/30/2022 10:39,3/31/2022 10:38,4/1/2022 10:51,4/2/2022 10:39,4/3/2022 10:43,4/4/2022 10:46,4/5/2022 10:37,4/6/2022 10:40,4/7/2022 10:36,4/8/2022 10:43,4/9/2022 10:37,4/10/2022 10:43,4/11/2022 10:45,4/12/2022 10:41,4/13/2022 10:49,4/14/2022 10:51,4/15/2022 10:45,4/16/2022 10:39,4/17/2022 10:45,4/18/2022 10:58,4/19/2022 10:55,4/20/2022 10:59,4/21/2022 10:51,4/22/2022 10:59,4/23/2022 10:48,4/24/2022 10:45,4/25/2022 10:50,4/26/2022 10:57,4/27/2022 11:00,4/28/2022 11:32,4/29/2022 11:00,4/30/2022 10:59,5/1/2022 11:20,5/2/2022 11:00,5/3/2022 11:00,5/4/2022 10:58,5/5/2022 10:51,5/6/2022 10:48,5/7/2022 10:44,5/8/2022 10:54,5/9/2022 10:59,5/10/2022 10:28,5/11/2022 10:59,5/12/2022 10:58,5/13/2022 11:01,5/14/2022 11:05,5/15/2022 11:02,5/16/2022 10:46,5/17/2022 10:52,5/18/2022 10:45,5/19/2022 11:02,5/20/2022 10:51,5/21/2022 10:26,5/22/2022 10:47,5/23/2022 10:52,5/24/2022 10:57,5/25/2022 10:56,5/26/2022 10:59,5/27/2022 10:56,5/28/2022 10:49,5/29/2022 11:06,5/30/2022 11:01,5/31/2022 10:59,6/1/2022 11:12,6/2/2022 11:00,6/3/2022 10:46,6/4/2022 10:43,6/5/2022 10:57,6/6/2022 10:56,6/7/2022 10:51,6/8/2022 10:51,6/9/2022 10:53,6/10/2022 11:00,6/11/2022 10:52,6/12/2022 11:05,6/13/2022 11:06,6/14/2022 11:08,6/15/2022 11:01,6/16/2022 10:55,6/17/2022 10:57,6/18/2022 10:57,6/19/2022 11:05,6/20/2022 10:58,6/21/2022 10:59,6/22/2022 11:09,6/23/2022 10:58,6/24/2022 11:01,6/25/2022 11:05,6/26/2022 11:10,6/27/2022 11:04,6/28/2022 11:02,6/29/2022 11:06,6/30/2022 11:06,7/1/2022 11:20,7/2/2022 11:02,7/3/2022 11:08,7/4/2022 11:14,7/5/2022 11:05,7/6/2022 11:22,7/7/2022 11:12,7/8/2022 11:08,7/9/2022 10:57,7/10/2022 11:19,7/11/2022 11:05,7/12/2022 11:18,7/13/2022 11:05,7/14/2022 11:20,7/15/2022 11:23,7/16/2022 11:05,7/17/2022 11:11,7/18/2022 11:09,7/19/2022 11:22,7/20/2022 11:06,7/21/2022 11:07,7/22/2022 11:10,7/23/2022 11:08,7/24/2022 11:13,7/25/2022 11:08,7/26/2022 11:21,7/27/2022 11:13,7/28/2022 11:05,7/29/2022 11:19,7/30/2022 11:06,7/31/2022 11:23,8/1/2022 11:20,8/2/2022 11:25,8/3/2022 11:07,8/4/2022 11:02,8/5/2022 11:03,8/6/2022 11:01,8/7/2022 11:09,8/8/2022 11:00,8/9/2022 11:12,8/10/2022 10:52,8/11/2022 10:55,8/12/2022 11:00,8/13/2022 10:55,8/14/2022 11:12,8/15/2022 11:19,8/16/2022 11:13,8/17/2022 11:24,8/18/2022 11:24,8/19/2022 11:13,8/20/2022 11:11,8/21/2022 11:07,8/22/2022 11:09,8/23/2022 11:21,8/24/2022 11:14,8/25/2022 11:22,8/26/2022 11:28,8/27/2022 11:24,8/28/2022 11:31,8/29/2022 11:29,8/30/2022 11:33,8/31/2022 11:39,9/1/2022 11:16,9/2/2022 11:25,9/3/2022 11:28,9/4/2022 11:23,9/5/2022 11:28,9/6/2022 11:33
10363848,ACPI DDR3-1600 (8GB),40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
6729388,ACPI 노트북 DDR3-1600 (8GB),60520,60520,60520,60520,59840,59840,59840,59840,59840,59840,59840,59840,59840,59840,59840,59840,59840,,,,,,,,,,,,,,,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,,,,,,,,,,,,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,57750,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58040,58060,58060,58060,58060,58060,58060,38050,38050,38050,38050,38050,38050,38050,38050,38050,38050,38050,38050,38050,39480,39480,,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,39480,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330,72330
6729388,ACPI 노트북 DDR3-1600 (4GB),35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35900,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,35910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11830747,ADATA DDR4-3200 CL22 (8GB),78540,78540,78540,78540,,,,,,,,,,31100,31100,31100,31100,31100,31100,31100,31100,30600,30590,30470,30350,30240,31400,31400,31360,31230,31130,31110,31010,30990,30860,30780,30660,30570,30570,30360,30360,30340,30340,30400,30600,30600,30600,27830,30600,30600,30600,30600,30600,30600,31930,31900,31880,31750,31670,31990,31990,31990,31990,31990,31990,31990,31990,32000,32000,32000,32000,32000,32000,32000,35340,35320,35700,38500,38490,38360,38500,38500,38450,38330,38500,38500,38400,38390,38330,38500,38500,38500,38490,38330,32200,33300,33300,33300,33290,33260,33140,33020,32900,32840,32760,32730,32640,32510,33300,33000,33000,33000,33000,33000,32970,32960,32940,32840,32730,32630,32510,33000,33000,33000,33000,33000,33000,32920,32800,32720,32630,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68200,68190,68070,67930,,,,33000,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30700,30700,30700,30700,30700,30700,29900,29900,28240,28240,28240,,,,,,29700,29700,29700,29700,29700,29700,29700,29700,29700,29690,29690,29690,29690,29690,29690,29690,28900,28660,28620,28610,28600,28590,28590,28590,28590,28640,28640,28640,,,,,,,,,,,,,,,,,,,28840,,,,,
15592385,ADATA DDR5-4800 CL40 (16GB),233100,233100,233100,233000,233000,233000,232920,232690,232380,232140,231850,231660,231430,231240,231060,231000,230820,230770,230530,230340,230220,229980,229920,217300,210300,210060,209880,209380,212670,209860,209800,209560,209320,209200,208900,208900,208670,208480,208300,207900,206770,206380,206140,205970,205960,205780,184100,182000,181000,180680,180680,180680,,180580,180580,179900,179900,179900,179900,175880,175820,174680,174560,173800,173540,172760,173110,172400,171310,171030,168920,175660,174570,173820,171820,171700,171530,170190,169530,168980,168920,174720,173050,169900,169090,168850,168790,172380,170850,169540,169010,169720,168840,174880,148820,148590,148520,148290,143240,142950,142710,142470,142230,141990,142900,139760,142410,142170,124820,124640,124410,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121820,121580,121340,121160,121100,120860,120620,120380,120140,119960,119900,119670,119420,119360,119070,118820,118580,118460,118280,118280,118220,117990,117800,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,121900,102450,100930,100910,100820,100750,100730,100640,100570,100510,100420,100340,100270,100240,100170,102440,102030,102020,102020,102020,102020,102020,102020,102020,102020,102020,102020,102020,102650,104040,104040,104040,104040,104040,104040,102790,102790,102790,102790,102790,102790,102790,102790,104030,104030,104030,104030,104030,105000,104990,104990,104970,101680,101680,101680,101680,101680,103700,106770,106770,106770,106770,106770,102820,102820,102820,102820,102820,102820,100200,99310,99310,99310,99310,99310,99310,99310,99310,99310,99310,99310,99310,99310,99310
5691012,ADATA XPG DDR4-2400 CL16 GAMMIX D10 레드 (8GB),111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,111300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5542488,ADATA XPG DDR4-2400 CL16 GAMMIX D10 레드 패키지 (16GB(8Gx2)),221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,221840,227740,227740,227740,227740,227740,227740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5624647,ADATA XPG DDR4-2400 CL16 SPECTRIX D40 (8GB),137950,137950,137950,137950,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,144150,144150,144150,144150,144150,144150,136400,136400,136400,136400,136400,133300,133300,133300,133300,133300,133300,133300,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,139500,139500,139500,134850,134850,134850,134850,134850,134850,134850,134850,134850,134850,134850,134850,134850,134850,134850,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,136400,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,139500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5624712,ADATA XPG DDR4-2400 CL16 SPECTRIX D40 패키지 (32GB(8Gx4)),575830,575830,575830,,,,,,,,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,601710,601710,601710,601710,601710,601710,569360,569360,569360,569360,569360,556420,556420,556420,556420,556420,556420,556420,569360,569360,569360,569360,569360,569360,569360,569360,569360,,569360,569360,569360,569360,569360,569360,569360,569360,,,569360,569360,569360,569360,569360,569360,569360,569360,,,,,,,,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,,,,562890,562890,562890,562890,562890,562890,562890,562890,562890,562890,562890,562890,562890,562890,562890,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,569360,,,,,,,,582300,582300,,582300,582300,582300,582300,582300,582300,582300,582300,582300,582300,582300,582300,582300,,582300,582300,582300,582300,582300,582300,582300,582300,582300,582300,582300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5541461,ADATA XPG DDR4-2400 CL16 SPECTRIX D40 패키지 (32GB(8Gx4)),,,,575830,569360,569360,569360,569360,569360,569360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569360,569360,,,,,,,,,569360,569360,569360,569360,569360,569360,569360,,,,,,,,,,,,582300,582300,582300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569360,569360,582300,582300,582300,582300,582300,,,582300,,,,,,,,,,,,,,,,,,,,,,,,,,582300,582300,582300,582300,582300,582300,582300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
