Id,Name,01/01/2022 10:11,01/02/2022 10:12,01/03/2022 10:09,01/04/2022 10:10,01/05/2022 10:14,01/06/2022 10:16,01/07/2022 10:16,01/08/2022 10:09,01/09/2022 10:14,01/10/2022 10:10,01/11/2022 10:11,01/12/2022 10:11,01/13/2022 10:13,01/14/2022 10:12,01/15/2022 10:09,01/16/2022 10:16,01/17/2022 10:11,01/18/2022 10:13,01/19/2022 10:04,01/20/2022 10:18,01/21/2022 10:04,01/22/2022 10:04,01/23/2022 10:07,01/24/2022 10:07,01/25/2022 10:13,01/26/2022 10:13,01/27/2022 10:07,01/28/2022 10:06,01/29/2022 10:02,01/30/2022 10:08,01/31/2022 10:05,02/01/2022 10:10,02/02/2022 10:08,02/03/2022 10:05,02/04/2022 10:05,02/05/2022 9:58,02/06/2022 10:15,02/07/2022 10:07,02/08/2022 10:10,02/09/2022 10:13,02/10/2022 10:10,02/11/2022 10:13,02/12/2022 10:13,02/13/2022 10:15,02/14/2022 10:09,02/15/2022 10:18,02/16/2022 10:13,02/17/2022 10:05,02/18/2022 10:16,02/19/2022 10:12,02/20/2022 10:16,02/21/2022 10:12,02/22/2022 10:15,02/23/2022 10:19,02/24/2022 10:17,02/25/2022 10:15,02/26/2022 10:09,02/27/2022 10:16,02/28/2022 10:15,03/01/2022 10:25,03/02/2022 10:20,03/03/2022 10:21,03/04/2022 10:26,03/05/2022 10:18,03/06/2022 10:17,03/07/2022 10:19,03/08/2022 10:18,03/09/2022 10:21,03/10/2022 10:24,03/11/2022 10:24,03/12/2022 10:13,03/13/2022 10:16,03/14/2022 10:21,03/15/2022 10:23,03/16/2022 10:25,03/17/2022 10:22,03/18/2022 10:25,03/19/2022 10:19,03/20/2022 10:23,03/21/2022 10:26,03/22/2022 10:36,03/23/2022 10:38,03/24/2022 10:27,03/25/2022 10:27,03/26/2022 10:26,03/27/2022 10:38,03/28/2022 10:45,03/29/2022 10:41,03/30/2022 10:40,03/31/2022 10:38,04/01/2022 10:51,04/02/2022 10:40,04/03/2022 10:44,04/04/2022 10:47,04/05/2022 10:37,04/06/2022 10:40,04/07/2022 10:37,04/08/2022 10:43,04/09/2022 10:37,04/10/2022 10:43,04/11/2022 10:45,04/12/2022 10:41,04/13/2022 10:50,04/14/2022 10:51,04/15/2022 10:46,04/16/2022 10:39,04/17/2022 10:45,04/18/2022 10:58,04/19/2022 10:56,04/20/2022 11:00,04/21/2022 10:51,04/22/2022 10:59,04/23/2022 10:48,04/24/2022 10:46,04/25/2022 10:50,04/26/2022 10:57,04/27/2022 11:00,04/28/2022 11:32,04/29/2022 11:00,04/30/2022 11:00,05/01/2022 11:20,05/02/2022 11:01,05/03/2022 11:00,05/04/2022 10:59,05/05/2022 10:52,05/06/2022 10:48,05/07/2022 10:44,05/08/2022 10:54,05/09/2022 10:59,05/10/2022 10:28,05/11/2022 10:59,05/12/2022 10:58,05/13/2022 11:01,05/14/2022 11:06,05/15/2022 11:02,05/16/2022 10:46,05/17/2022 10:52,05/18/2022 10:45,05/19/2022 11:02,05/20/2022 10:52,05/21/2022 10:26,05/22/2022 10:47,05/23/2022 10:52,05/24/2022 10:57,05/25/2022 10:56,05/26/2022 11:00,05/27/2022 10:56,05/28/2022 10:49,05/29/2022 11:06,05/30/2022 11:02,05/31/2022 10:59,06/01/2022 11:13,06/02/2022 11:00,06/03/2022 10:47,06/04/2022 10:44,06/05/2022 10:58,06/06/2022 10:57,06/07/2022 10:52,06/08/2022 10:52,06/09/2022 10:53,06/10/2022 11:01,06/11/2022 10:52,06/12/2022 11:05,06/13/2022 11:06,06/14/2022 11:08,06/15/2022 11:01,06/16/2022 10:55,06/17/2022 10:57,06/18/2022 10:57,06/19/2022 11:06,06/20/2022 10:58,06/21/2022 10:59,06/22/2022 11:09,06/23/2022 10:58,06/24/2022 11:01,06/25/2022 11:05,06/26/2022 11:10,06/27/2022 11:04,06/28/2022 11:02,06/29/2022 11:06,06/30/2022 11:06,07/01/2022 11:21,07/02/2022 11:02,07/03/2022 11:08,07/04/2022 11:14,07/05/2022 11:06,07/06/2022 11:23,07/07/2022 11:13,07/08/2022 11:08,07/09/2022 10:57,07/10/2022 11:20,07/11/2022 11:05,07/12/2022 11:19,07/13/2022 11:06,07/14/2022 11:20,07/15/2022 11:23,07/16/2022 11:05,07/17/2022 11:11,07/18/2022 11:09,07/19/2022 11:22,07/20/2022 11:06,07/21/2022 11:08,07/22/2022 11:10,07/23/2022 11:09,07/24/2022 11:13,07/25/2022 11:08,07/26/2022 11:21,07/27/2022 11:13,07/28/2022 11:06,07/29/2022 11:19,07/30/2022 11:06,07/31/2022 11:23,08/01/2022 11:20,08/02/2022 11:25,08/03/2022 11:07,08/04/2022 11:02,08/05/2022 11:04,08/06/2022 11:01,08/07/2022 11:10,08/08/2022 11:01,08/09/2022 11:12,08/10/2022 10:52,08/11/2022 10:56,08/12/2022 11:00,08/13/2022 10:55,08/14/2022 11:12,08/15/2022 11:19,08/16/2022 11:13,08/17/2022 11:25,08/18/2022 11:24,08/19/2022 11:14,08/20/2022 11:12,08/21/2022 11:07,08/22/2022 11:10,08/23/2022 11:22,08/24/2022 11:14,08/25/2022 11:22,08/26/2022 11:29,08/27/2022 11:24,08/28/2022 11:31,08/29/2022 11:29,08/30/2022 11:34,08/31/2022 11:39,09/01/2022 11:16,09/02/2022 11:25,09/03/2022 11:29,09/04/2022 11:23,09/05/2022 11:28,09/06/2022 11:33
11830057,ADATA FALCON M.2 NVMe (2TB),394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,394500,70710,70660,70650,70540,70440,70420,70320,72140,72200,72080,72060,71960,71930,71840,71810,71720,71630,74840,74740,74620,74530,74450,68520,68520,68520,68520,68520,68520,68520,68520,68520,68520,68520,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,49990,49990,49990,49990,49990,,,,78410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73370,73370,73370,73370,73370,73370,73370,73370,73370,73370,73370,73370,73370,73780,73780,73780,73780,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,,,,,,,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,82000,96570,96570,96570,96570,96570,96570,,,,,,,,,,,,,,,,,,,96570,96570,96570,96570,96570,96570
11830084,ADATA FALCON M.2 NVMe (1TB),126140,126080,125840,125720,125540,125480,125250,125010,124770,124700,124520,124280,124050,123860,123800,123560,123380,123330,123140,123080,122900,122840,122780,122540,122300,122120,122000,121820,121760,121640,121400,121160,121050,121050,121040,120810,120570,120380,120320,120080,119850,119730,119480,119240,119060,119000,118820,118590,125080,124850,126650,124370,124130,123880,123700,123640,123460,123280,123050,122860,122620,122560,122560,122320,68520,68520,68520,68520,68520,68520,70110,78690,78570,78470,78350,68520,70110,70110,78710,78680,78590,78560,78470,78380,70240,70240,78710,,,,126540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123120,123120,123120,123120,123120,123120,123120,123120,123120,123120,123120,123120,123120,123120,123800,123800,123800,123800,123800,123800,123800,123800,123800,123800,123800,124490,124490,124490,124490,124490,124490,124530,124530,124530,124530,124530,124530,124530,124530,124500,124480,124400,124380,124360,,,,,,,123900,123880,123790,123720,123700,123610,123530,123450,123380,123290,123220,123130,123050,122980,122960,122910,122840,122760,122740,122680,122610,122590,122520,122490,122410,122340,122310,122230,122160,122130,122050,122010,121970,121960,121950,121940,121920,121890,121870,121860,121850,121840,121830,121790,121780,121780,121780,121780,121780,121780,121780,121780,121780,121740,121700,,,,,,,,,,,,,,,,,,,121190,121170,121140,121120,121110,121080
11830057,ADATA FALCON M.2 NVMe (512GB),66440,67460,67350,67260,67160,67130,67040,66950,66930,66890,66800,66710,66590,66480,66380,66290,66270,66170,66150,66020,65960,65900,65780,65670,65660,65540,71190,71100,71080,70950,70830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11830003,ADATA FALCON M.2 NVMe (256GB),47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,47990,,,,,,,,,,,,,,,,,,,,,,,,,,,45400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39100,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,49990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,,,,,,,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,199990,,,,,,,,,,,,,,,,,,,199990,199990,199990,199990,199990,199990
15593504,ADATA PROSPECTOR 950 해외구매 (1TB),928720,928720,928720,928720,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928720,928720,928720,928720,928720,928720,928720,928720,928720,928720,928720,863710,863710,863710,863710,863710,863710,863710,928720,928720,928720,928720,928720,928720,928720,928720,928720,928720,928720,928720,928720,928720,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,928710,929710,928180,928170,891060,905940,938290,938290,938290,938290,938290,938290,938290,938290,938290,938290,938290,949080,949080,949080,949080,949080,949080,949080,949080,949080,949080,949080,949080,949080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11830468,ADATA SWORDFISH M.2 NVMe (2TB),351640,351640,351640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118330,118330,118330,118320,118270,118030,117780,120180,120180,120180,115700,115700,117000,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,119650,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,,,,,,,,,,,,,,,,,,,,,,412690,,412690,,,,,,,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,121450,123590,123590,123590,123590,123590,123590,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,121500,64870,64780,64700,64630,64610,64530,64440,64370,64330,64240,,64090,64040,63970,63950,63860,,,119650,119650,119650,119650,119650,119650,119730,119730,119730,119730,119730,119730,119730,119730,119730,,,,,,,,,,,,,,,,,119730,119730,119730,119730,116150,116140,116140,116140,116140,116140,116140,116140,116140,116140,116140,116140,116140,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520,104520
11830468,ADATA SWORDFISH M.2 NVMe (1TB),118780,120170,118540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11830438,ADATA SWORDFISH M.2 NVMe (500GB),65990,65970,65870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63610,63610,63610,63600,63550,63430,63330,63300,63180,63060,62980,62850,62730,62610,62490,62400,62310,62290,62190,62170,62140,62080,61950,61920,66780,66760,66660,66630,66510,66400,66360,66340,66210,66100,65970,65850,65710,65590,65530,65460,65410,65290,65190,65190,65100,65080,65050,64980,64890,64830,64800,64680,64650,64510,64410,64380,64290,64260,64240,66360,66360,66360,66360,66350,66290,66260,66170,66090,65990,65960,65840,64110,64110,64110,64110,64110,64110,64110,64110,64470,,64470,,64470,,64470,64470,64470,64470,64470,64470,64470,64470,64470,64470,64470,64470,64470,64470,64470,64470,64380,64740,64740,64740,64740,64740,64740,64740,64740,64740,64740,64740,64740,64740,65100,65100,65100,65100,65100,65110,65110,65110,65110,65110,65110,65110,65110,65070,65050,64970,64940,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,,43700,43700,43700,43700,43700,,,63680,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,,,,,,,,,,,,,,,,,63330,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63670,63630,63610,63590,64030,64030,64030,64030,63990,63980,63960,63930,63910,63890,63870
11830423,ADATA SWORDFISH M.2 NVMe (250GB),41470,41450,41350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39960,39840,39820,39690,39580,39460,39360,38530,38500,38380,41970,41870,41840,41720,41610,41580,41460,41340,41220,41100,41030,40920,40790,40790,40670,40650,40520,40400,40310,40280,40250,40230,40100,40100,40070,39920,39810,39710,39690,39570,39450,39330,39230,39230,39170,39060,38960,38930,38840,38780,38750,38660,38600,38540,38400,38300,38270,38280,40170,,,,,,,,,,,,,,,,,,,,,,,,,,412690,,,,,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,,,,,,,,,,,,,,,,,,,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,,,,,,,,,,,,,,,,,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700,43700
11830438,ADATA SWORDFISH M.2 NVMe (2TB),,,,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,351640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
